gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
17,2022-03-13,Sun,12:30 (05:30),Tottenham,Manchester City,,1,0–1,0.1,1.0,The Hive Stadium,1303,Emily Heaslip,completed,away_win,https://fbref.com/en/squads/e8e4577c/2021-2022/Tottenham-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2021-2022/Manchester-City-Women-Stats,https://fbref.com/en/matches/b0d1e88d/Tottenham-Manchester-City-March-13-2022-Womens-Super-League
17,2022-03-13,Sun,13:00 (06:00),Chelsea,Aston Villa,1,,1–0,1.7,0.4,Cherry Red Records Fans' Stadium,2655,Abigail Bryne,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2021-2022/Chelsea-Women-Stats,https://fbref.com/en/squads/53157aa8/2021-2022/Aston-Villa-Women-Stats,https://fbref.com/en/matches/9d780857/Chelsea-Aston-Villa-March-13-2022-Womens-Super-League
17,2022-03-13,Sun,14:00 (07:00),Birmingham City,West Ham,,1,0–1,0.5,0.6,St Andrew's Trillion Trophy Stadium,587,Louise Saunders,completed,away_win,https://fbref.com/en/squads/e3719fe4/Birmingham-City-Women-Stats,https://fbref.com/en/squads/52d65cea/2021-2022/West-Ham-United-Women-Stats,https://fbref.com/en/matches/d27d8b5e/Birmingham-City-West-Ham-United-March-13-2022-Womens-Super-League
17,2022-03-13,Sun,18:45 (11:45),Brighton,Arsenal,,3,0–3,0.4,1.9,The People’s Pension Stadium,2535,Tom Reeves,completed,away_win,https://fbref.com/en/squads/fa2752bc/2021-2022/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/411b1108/2021-2022/Arsenal-Women-Stats,https://fbref.com/en/matches/dbfdde11/Brighton-and-Hove-Albion-Arsenal-March-13-2022-Womens-Super-League
10,2022-03-16,Wed,19:00 (12:00),Manchester City,Reading,2,,2–0,2.9,0.1,Academy Stadium,1126,Anthony Backhouse,completed,home_win,https://fbref.com/en/squads/9ce68f8a/2021-2022/Manchester-City-Women-Stats,https://fbref.com/en/squads/5d020380/2021-2022/Reading-Women-Stats,https://fbref.com/en/matches/f1726369/Manchester-City-Reading-March-16-2022-Womens-Super-League
12,2022-03-16,Wed,19:00 (12:00),Everton,Chelsea,,3,0–3,0.1,1.2,Walton Hall Park,574,James Bell,completed,away_win,https://fbref.com/en/squads/c4989550/2021-2022/Everton-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2021-2022/Chelsea-Women-Stats,https://fbref.com/en/matches/dcb17845/Everton-Chelsea-March-16-2022-Womens-Super-League
11,2022-03-16,Wed,19:30 (12:30),West Ham,Manchester Utd,1,1,1–1,0.4,0.5,Chigwell Construction Stadium,1425,Daniel Lamport,completed,draw,https://fbref.com/en/squads/52d65cea/2021-2022/West-Ham-United-Women-Stats,https://fbref.com/en/squads/0bbd83f6/2021-2022/Manchester-United-Women-Stats,https://fbref.com/en/matches/dea413fa/West-Ham-United-Manchester-United-March-16-2022-Womens-Super-League
16,2022-03-23,Wed,19:00 (12:00),Manchester City,Everton,4,,4–0,2.2,0.0,Academy Stadium,1119,Scott Jackson,completed,home_win,https://fbref.com/en/squads/9ce68f8a/2021-2022/Manchester-City-Women-Stats,https://fbref.com/en/squads/c4989550/2021-2022/Everton-Women-Stats,https://fbref.com/en/matches/ced7ea7d/Manchester-City-Everton-March-23-2022-Womens-Super-League
18,2022-03-26,Sat,12:30 (05:30),Aston Villa,Reading,1,1,1–1,1.3,1.2,The Banks's Stadium,461,Lauren Impey,completed,draw,https://fbref.com/en/squads/53157aa8/2021-2022/Aston-Villa-Women-Stats,https://fbref.com/en/squads/5d020380/2021-2022/Reading-Women-Stats,https://fbref.com/en/matches/551a2248/Aston-Villa-Reading-March-26-2022-Womens-Super-League
18,2022-03-27,Sun,12:30 (04:30),Manchester Utd,Everton,3,1,3–1,1.5,0.4,Old Trafford,20241,Helen Conley,completed,home_win,https://fbref.com/en/squads/0bbd83f6/2021-2022/Manchester-United-Women-Stats,https://fbref.com/en/squads/c4989550/2021-2022/Everton-Women-Stats,https://fbref.com/en/matches/316fc90c/Manchester-United-Everton-March-27-2022-Womens-Super-League
18,2022-03-27,Sun,15:00 (07:00),Leicester City,Chelsea,,9,0–9,0.4,3.5,King Power Stadium,2278,Abigail Bryne,completed,away_win,https://fbref.com/en/squads/23bce84e/2021-2022/Leicester-City-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2021-2022/Chelsea-Women-Stats,https://fbref.com/en/matches/8caf4c2c/Leicester-City-Chelsea-March-27-2022-Womens-Super-League
18,2022-03-27,Sun,15:00 (07:00),West Ham,Brighton,,2,0–2,0.5,0.7,Chigwell Construction Stadium,1411,Paul Howard,completed,away_win,https://fbref.com/en/squads/52d65cea/2021-2022/West-Ham-United-Women-Stats,https://fbref.com/en/squads/fa2752bc/2021-2022/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/f83db90b/West-Ham-United-Brighton-and-Hove-Albion-March-27-2022-Womens-Super-League
19,2022-04-01,Fri,19:00 (11:00),Birmingham City,Everton,,,0–0,0.2,1.6,St Andrew's Trillion Trophy Stadium,537,Amy Fearn,completed,draw,https://fbref.com/en/squads/e3719fe4/Birmingham-City-Women-Stats,https://fbref.com/en/squads/c4989550/2021-2022/Everton-Women-Stats,https://fbref.com/en/matches/76b1394e/Birmingham-City-Everton-April-1-2022-Womens-Super-League
19,2022-04-02,Sat,11:30 (03:30),West Ham,Manchester City,,2,0–2,0.3,2.0,Chigwell Construction Stadium,1475,Lucy May,completed,away_win,https://fbref.com/en/squads/52d65cea/2021-2022/West-Ham-United-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2021-2022/Manchester-City-Women-Stats,https://fbref.com/en/matches/23f57a84/West-Ham-United-Manchester-City-April-2-2022-Womens-Super-League
