gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
1,2023-10-01,Sun,12:30 (04:30),Aston Villa,Manchester Utd,1,2,1–2,0.9,2.5,Villa Park,12533,Rebecca Welch,completed,away_win,https://fbref.com/en/squads/53157aa8/2023-2024/Aston-Villa-Women-Stats,https://fbref.com/en/squads/0bbd83f6/2023-2024/Manchester-United-Women-Stats,https://fbref.com/en/matches/c300854a/Aston-Villa-Manchester-United-October-1-2023-Womens-Super-League
1,2023-10-01,Sun,13:00 (05:00),Everton,Brighton,1,2,1–2,1.6,1.5,Walton Hall Park,1295,Kirsty Dowle,completed,away_win,https://fbref.com/en/squads/c4989550/2023-2024/Everton-Women-Stats,https://fbref.com/en/squads/fa2752bc/2023-2024/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/1234d7e9/Everton-Brighton-and-Hove-Albion-October-1-2023-Womens-Super-League
1,2023-10-01,Sun,14:00 (06:00),Bristol City,Leicester City,2,4,2–4,1.2,1.8,Ashton Gate Stadium,4132,Elizabeth Simms,completed,away_win,https://fbref.com/en/squads/41916f68/Bristol-City-Women-Stats,https://fbref.com/en/squads/23bce84e/2023-2024/Leicester-City-Women-Stats,https://fbref.com/en/matches/8363c70a/Bristol-City-Leicester-City-October-1-2023-Womens-Super-League
1,2023-10-01,Sun,14:00 (06:00),Arsenal,Liverpool,,1,0–1,1.7,1.0,Emirates Stadium,54115,Emily Heaslip,completed,away_win,https://fbref.com/en/squads/411b1108/2023-2024/Arsenal-Women-Stats,https://fbref.com/en/squads/00f74a56/2023-2024/Liverpool-Women-Stats,https://fbref.com/en/matches/b162ee4d/Arsenal-Liverpool-October-1-2023-Womens-Super-League
1,2023-10-01,Sun,15:00 (07:00),West Ham,Manchester City,,2,0–2,0.2,1.8,Chigwell Construction Stadium,2032,Abigail Byrne,completed,away_win,https://fbref.com/en/squads/52d65cea/2023-2024/West-Ham-United-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2023-2024/Manchester-City-Women-Stats,https://fbref.com/en/matches/df82b77f/West-Ham-United-Manchester-City-October-1-2023-Womens-Super-League
1,2023-10-01,Sun,17:30 (09:30),Chelsea,Tottenham,2,1,2–1,2.6,2.0,Stamford Bridge,14776,James Bell,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2023-2024/Chelsea-Women-Stats,https://fbref.com/en/squads/e8e4577c/2023-2024/Tottenham-Women-Stats,https://fbref.com/en/matches/ae644218/Chelsea-Tottenham-October-1-2023-Womens-Super-League
2,2023-10-06,Fri,19:30 (11:30),Manchester Utd,Arsenal,2,2,2–2,1.2,1.4,Leigh Sports Village Stadium,8312,Kirsty Dowle,completed,draw,https://fbref.com/en/squads/0bbd83f6/2023-2024/Manchester-United-Women-Stats,https://fbref.com/en/squads/411b1108/2023-2024/Arsenal-Women-Stats,https://fbref.com/en/matches/d9ab279d/Manchester-United-Arsenal-October-6-2023-Womens-Super-League
2,2023-10-08,Sun,12:00 (04:00),Brighton,West Ham,,2,0–2,0.8,1.3,Broadfield Stadium,1126,Amy Fearn,completed,away_win,https://fbref.com/en/squads/fa2752bc/2023-2024/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/52d65cea/2023-2024/West-Ham-United-Women-Stats,https://fbref.com/en/matches/015a5b1e/Brighton-and-Hove-Albion-West-Ham-United-October-8-2023-Womens-Super-League
2,2023-10-08,Sun,12:30 (04:30),Manchester City,Chelsea,1,1,1–1,0.5,1.9,Joie Stadium,5249,Emily Heaslip,completed,draw,https://fbref.com/en/squads/9ce68f8a/2023-2024/Manchester-City-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2023-2024/Chelsea-Women-Stats,https://fbref.com/en/matches/f84aa618/Manchester-City-Chelsea-October-8-2023-Womens-Super-League
2,2023-10-08,Sun,14:00 (06:00),Tottenham,Bristol City,3,1,3–1,1.1,1.8,Gaughan Group Stadium,1605,Lauren Impey,completed,home_win,https://fbref.com/en/squads/e8e4577c/2023-2024/Tottenham-Women-Stats,https://fbref.com/en/squads/41916f68/Bristol-City-Women-Stats,https://fbref.com/en/matches/2b8619e0/Tottenham-Bristol-City-October-8-2023-Womens-Super-League
2,2023-10-08,Sun,15:00 (07:00),Leicester City,Everton,1,,1–0,2.0,1.7,King Power Stadium,2150,Stacey Fullicks,completed,home_win,https://fbref.com/en/squads/23bce84e/2023-2024/Leicester-City-Women-Stats,https://fbref.com/en/squads/c4989550/2023-2024/Everton-Women-Stats,https://fbref.com/en/matches/9eca2597/Leicester-City-Everton-October-8-2023-Womens-Super-League
2,2023-10-08,Sun,18:45 (10:45),Liverpool,Aston Villa,2,,2–0,0.8,1.1,Prenton Park,2963,Melissa Burgin,completed,home_win,https://fbref.com/en/squads/00f74a56/2023-2024/Liverpool-Women-Stats,https://fbref.com/en/squads/53157aa8/2023-2024/Aston-Villa-Women-Stats,https://fbref.com/en/matches/f92ce0e8/Liverpool-Aston-Villa-October-8-2023-Womens-Super-League
3,2023-10-14,Sat,17:30 (09:30),Chelsea,West Ham,2,,2–0,2.4,1.0,Cherry Red Records Fans' Stadium,3313,Stacey Pearson,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2023-2024/Chelsea-Women-Stats,https://fbref.com/en/squads/52d65cea/2023-2024/West-Ham-United-Women-Stats,https://fbref.com/en/matches/eb5c2d2c/Chelsea-West-Ham-United-October-14-2023-Womens-Super-League
3,2023-10-15,Sun,12:00 (04:00),Manchester Utd,Leicester City,1,1,1–1,2.0,0.2,Leigh Sports Village Stadium,4903,Adewunmi Soneye,completed,draw,https://fbref.com/en/squads/0bbd83f6/2023-2024/Manchester-United-Women-Stats,https://fbref.com/en/squads/23bce84e/2023-2024/Leicester-City-Women-Stats,https://fbref.com/en/matches/301d3fdf/Manchester-United-Leicester-City-October-15-2023-Womens-Super-League
3,2023-10-15,Sun,13:00 (05:00),Manchester City,Bristol City,5,,5–0,3.0,0.1,Joie Stadium,7000,Stacey Fullicks,completed,home_win,https://fbref.com/en/squads/9ce68f8a/2023-2024/Manchester-City-Women-Stats,https://fbref.com/en/squads/41916f68/Bristol-City-Women-Stats,https://fbref.com/en/matches/fb59989b/Manchester-City-Bristol-City-October-15-2023-Womens-Super-League
