season,gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
2023-2024,1,2023-09-15,Fri,21:00 (12:00),Le Havre,Lyon,,4,0–4,0.3,3.7,Stade Océane,4676,Audrey Gerbel,completed,away_win,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/matches/13878f62/Le-Havre-Olympique-Lyonnais-September-15-2023-Division-1-Feminine
2023-2024,1,2023-09-16,Sat,15:00 (06:00),Lille,Paris FC,,4,0–4,0.3,3.3,Stadium Lille Métropole - Terrain Annexe,371,Elisa Daupeux,completed,away_win,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/matches/cf81dbdb/Lille-Paris-FC-September-16-2023-Division-1-Feminine
2023-2024,1,2023-09-16,Sat,15:00 (06:00),Fleury,Guingamp,3,1,3–1,1.6,0.5,Stade Robert Bobin,274,Maika Vanderstichel,completed,home_win,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/matches/bb6a73ef/Fleury-Guingamp-September-16-2023-Division-1-Feminine
2023-2024,1,2023-09-16,Sat,15:00 (06:00),Montpellier,Dijon,2,,2–0,2.2,0.2,Stade Bernard Gasset Terrain n°7,296,Émeline Rochebilière,completed,home_win,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/matches/7e7103e9/Montpellier-Dijon-September-16-2023-Division-1-Feminine
2023-2024,1,2023-09-16,Sat,15:00 (06:00),Stade de Reims,Saint-Étienne,2,,2–0,1.2,0.9,Stade Louis Blériot N°1,266,Alexandra Collin,completed,home_win,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/matches/edb76096/Stade-de-Reims-Saint-Etienne-September-16-2023-Division-1-Feminine
2023-2024,1,2023-09-17,Sun,21:00 (12:00),Bordeaux,Paris S-G,,3,0–3,0.2,2.2,Stade Chaban-Delmas,2453,Clémence Goncalves,completed,away_win,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/matches/da1b3e0a/Bordeaux-Paris-Saint-Germain-September-17-2023-Division-1-Feminine
2023-2024,2,2023-09-29,Fri,21:00 (12:00),Paris FC,Fleury,3,1,3–1,2.1,0.4,Stade Robert Bobin,479,Audrey Gerbel,completed,home_win,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/matches/f2155033/Paris-FC-Fleury-September-29-2023-Division-1-Feminine
2023-2024,2,2023-09-30,Sat,13:30 (04:30),Guingamp,Stade de Reims,,,0–0,0.6,0.4,Stade du Roudourou,332,Clémence Goncalves,completed,draw,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/matches/2758bfdb/Guingamp-Stade-de-Reims-September-30-2023-Division-1-Feminine
2023-2024,2,2023-09-30,Sat,15:00 (06:00),Dijon,Lille,3,3,3–3,0.7,1.9,Stade Gaston Gérard,535,Savina Elbour,completed,draw,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/matches/8fd947d2/Dijon-Lille-September-30-2023-Division-1-Feminine
2023-2024,2,2023-09-30,Sat,15:00 (06:00),Bordeaux,Le Havre,1,1,1–1,0.9,1.6,Stade Sainte-Germaine,852,Victoria Beyer,completed,draw,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/matches/5713524d/Bordeaux-Le-Havre-September-30-2023-Division-1-Feminine
