season,gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
2023-2024,2,2023-09-30,Sat,15:00 (06:00),Saint-Étienne,Montpellier,1,1,1–1,0.2,0.4,Stade Aimé Jacquet,227,Aurélie Efe,completed,draw,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/matches/032b9a20/Saint-Etienne-Montpellier-September-30-2023-Division-1-Feminine
2023-2024,2,2023-10-01,Sun,21:00 (12:00),Paris S-G,Lyon,,1,0–1,0.7,0.9,Parc des Princes,15899,Émeline Rochebilière,completed,away_win,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/matches/da74f2fe/Paris-Saint-Germain-Olympique-Lyonnais-October-1-2023-Division-1-Feminine
2023-2024,3,2023-10-06,Fri,18:00 (09:00),Saint-Étienne,Paris S-G,,1,0–1,0.3,1.3,Stade Aimé Jacquet,500,Charlène Laur,completed,away_win,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/matches/310e2386/Saint-Etienne-Paris-Saint-Germain-October-6-2023-Division-1-Feminine
2023-2024,3,2023-10-06,Fri,21:00 (12:00),Le Havre,Paris FC,1,4,1–4,0.8,2.7,Stade Océane,1034,Clémence Goncalves,completed,away_win,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/matches/4fdb7912/Le-Havre-Paris-FC-October-6-2023-Division-1-Feminine
2023-2024,3,2023-10-07,Sat,15:00 (06:00),Montpellier,Guingamp,3,1,3–1,1.4,0.5,Stade Bernard Gasset Terrain n°7,135,Victoria Beyer,completed,home_win,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/matches/b1207ba7/Montpellier-Guingamp-October-7-2023-Division-1-Feminine
2023-2024,3,2023-10-07,Sat,15:00 (06:00),Stade de Reims,Dijon,1,,1–0,0.5,0.7,Stade Louis Blériot N°1,295,Elisa Daupeux,completed,home_win,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/matches/e085a63c/Stade-de-Reims-Dijon-October-7-2023-Division-1-Feminine
2023-2024,3,2023-10-07,Sat,15:00 (06:00),Lille,Fleury,2,1,2–1,1.5,0.2,Stadium Lille Métropole - Terrain Annexe,496,Aurélie Efe,completed,home_win,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/matches/588f51e9/Lille-Fleury-October-7-2023-Division-1-Feminine
2023-2024,3,2023-10-08,Sun,21:00 (12:00),Lyon,Bordeaux,4,,4–0,3.0,0.1,Stade Gérard Houillier 1,750,Alexandra Collin,completed,home_win,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/matches/c577e576/Olympique-Lyonnais-Bordeaux-October-8-2023-Division-1-Feminine
2023-2024,4,2023-10-13,Fri,18:30 (09:30),Bordeaux,Montpellier,1,1,1–1,1.2,1.2,Stade Pierre-Paul Bernard,467,Elisa Daupeux,completed,draw,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/matches/fbfedfa3/Bordeaux-Montpellier-October-13-2023-Division-1-Feminine
2023-2024,4,2023-10-14,Sat,15:00 (06:00),Paris FC,Guingamp,2,,2–0,2.0,0.1,Stade Sébastien Charléty,652,Émeline Rochebilière,completed,home_win,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/matches/278b4daf/Paris-FC-Guingamp-October-14-2023-Division-1-Feminine
2023-2024,4,2023-10-14,Sat,15:00 (06:00),Le Havre,Lille,2,2,2–2,3.1,0.9,Stade Océane,825,Audrey Gerbel,completed,draw,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/matches/6564d4a2/Le-Havre-Lille-October-14-2023-Division-1-Feminine
2023-2024,4,2023-10-14,Sat,18:00 (09:00),Fleury,Dijon,2,1,2–1,1.4,1.3,Stade Robert Bobin,390,Charlène Laur,completed,home_win,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/matches/1c7fe75f/Fleury-Dijon-October-14-2023-Division-1-Feminine
2023-2024,4,2023-10-14,Sat,21:00 (12:00),Lyon,Saint-Étienne,6,,6–0,3.5,0.1,Stade Gérard Houillier 1,1186,Maika Vanderstichel,completed,home_win,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/matches/78027557/Olympique-Lyonnais-Saint-Etienne-October-14-2023-Division-1-Feminine
2023-2024,5,2023-10-20,Fri,21:00 (12:00),Montpellier,Fleury,1,1,1–1,0.8,1.3,Stade Bernard Gasset Terrain n°7,492,Maika Vanderstichel,completed,draw,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/matches/d2352124/Montpellier-Fleury-October-20-2023-Division-1-Feminine
2023-2024,5,2023-10-21,Sat,15:00 (06:00),Guingamp,Bordeaux,1,,1–0,0.9,0.7,Stade Centre Formation EAG 1,420,Charlène Laur,completed,home_win,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/matches/0a119d35/Guingamp-Bordeaux-October-21-2023-Division-1-Feminine
2023-2024,5,2023-10-21,Sat,15:00 (06:00),Saint-Étienne,Le Havre,1,2,1–2,1.1,1.5,Stade Salif Keita,397,Alexandra Collin,completed,away_win,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/matches/85a7ca23/Saint-Etienne-Le-Havre-October-21-2023-Division-1-Feminine
2023-2024,5,2023-10-21,Sat,15:00 (06:00),Lille,Paris S-G,,4,0–4,0.2,0.8,Stadium Lille Métropole - Terrain Annexe,1148,Elisa Daupeux,completed,away_win,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/matches/f8470a99/Lille-Paris-Saint-Germain-October-21-2023-Division-1-Feminine
2023-2024,5,2023-10-22,Sun,17:30 (08:30),Dijon,Paris FC,,6,0–6,0.4,1.8,Stade Gaston Gérard,639,Aurélie Efe,completed,away_win,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/matches/554f486c/Dijon-Paris-FC-October-22-2023-Division-1-Feminine
2023-2024,5,2023-10-22,Sun,21:00 (12:00),Stade de Reims,Lyon,1,5,1–5,1.0,3.5,Stade Auguste-Delaune,1831,Clémence Goncalves,completed,away_win,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/matches/6df32e03/Stade-de-Reims-Olympique-Lyonnais-October-22-2023-Division-1-Feminine
2023-2024,6,2023-11-03,Fri,21:00 (13:00),Lille,Montpellier,,,0–0,0.6,1.0,Stadium Lille Métropole,1633,Émeline Rochebilière,completed,draw,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/matches/c3c2c370/Lille-Montpellier-November-3-2023-Division-1-Feminine
2023-2024,6,2023-11-04,Sat,14:30 (06:30),Bordeaux,Stade de Reims,,2,0–2,1.1,1.5,Stade Sainte-Germaine,826,Alexandra Collin,completed,away_win,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/matches/5ba3ae48/Bordeaux-Stade-de-Reims-November-4-2023-Division-1-Feminine
2023-2024,6,2023-11-04,Sat,15:00 (07:00),Fleury,Saint-Étienne,2,1,2–1,2.5,0.7,Stade Robert Bobin,158,Clémence Goncalves,completed,home_win,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/matches/542e45c1/Fleury-Saint-Etienne-November-4-2023-Division-1-Feminine
2023-2024,6,2023-11-04,Sat,15:00 (07:00),Le Havre,Dijon,3,3,3–3,1.8,2.2,Stade Océane,1024,Maika Vanderstichel,completed,draw,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/matches/14636d52/Le-Havre-Dijon-November-4-2023-Division-1-Feminine
2023-2024,6,2023-11-05,Sun,21:00 (12:00),Paris FC,Lyon,1,6,1–6,1.3,3.4,Stade Sébastien Charléty,2418,Victoria Beyer,completed,away_win,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/matches/040b32bb/Paris-FC-Olympique-Lyonnais-November-5-2023-Division-1-Feminine
2023-2024,7,2023-11-10,Fri,21:00 (12:00),Lyon,Montpellier,5,,5–0,3.8,0.6,Stade Gérard Houillier 1,800,Elisa Daupeux,completed,home_win,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/matches/faf3df46/Olympique-Lyonnais-Montpellier-November-10-2023-Division-1-Feminine
2023-2024,7,2023-11-11,Sat,14:00 (05:00),Fleury,Bordeaux,2,1,2–1,1.4,1.2,Stade Robert Bobin,153,Victoria Beyer,completed,home_win,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/matches/da0bc450/Fleury-Bordeaux-November-11-2023-Division-1-Feminine
2023-2024,7,2023-11-11,Sat,15:00 (06:00),Stade de Reims,Le Havre,,,0–0,0.3,0.4,Stade Louis Blériot N°1,103,Charlène Laur,completed,draw,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/matches/81418838/Stade-de-Reims-Le-Havre-November-11-2023-Division-1-Feminine
2023-2024,7,2023-11-11,Sat,15:00 (06:00),Saint-Étienne,Paris FC,1,6,1–6,0.6,3.0,Stade Salif Keita,455,Céline Jeannot,completed,away_win,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/matches/c27995a5/Saint-Etienne-Paris-FC-November-11-2023-Division-1-Feminine
2023-2024,7,2023-11-11,Sat,15:00 (06:00),Guingamp,Lille,4,3,4–3,2.7,2.4,Stade Centre Formation EAG 1,514,Audrey Gerbel,completed,home_win,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/matches/95ffd642/Guingamp-Lille-November-11-2023-Division-1-Feminine
2023-2024,7,2023-11-12,Sun,21:00 (12:00),Dijon,Paris S-G,2,5,2–5,0.6,3.4,Stade Gaston Gérard,1244,Émeline Rochebilière,completed,away_win,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/matches/1161b523/Dijon-Paris-Saint-Germain-November-12-2023-Division-1-Feminine
2023-2024,8,2023-11-17,Fri,21:00 (12:00),Lyon,Dijon,4,1,4–1,4.0,0.1,Stade Gérard Houillier 1,622,Charlène Laur,completed,home_win,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/matches/7214e79d/Olympique-Lyonnais-Dijon-November-17-2023-Division-1-Feminine
2023-2024,8,2023-11-18,Sat,14:30 (05:30),Le Havre,Guingamp,2,,2–0,2.3,0.2,Stade Océane,744,Céline Jeannot,completed,home_win,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/matches/3447dc6b/Le-Havre-Guingamp-November-18-2023-Division-1-Feminine
2023-2024,8,2023-11-18,Sat,14:30 (05:30),Montpellier,Stade de Reims,2,1,2–1,2.0,1.2,Stade Bernard Gasset Terrain n°7,271,Aurélie Efe,completed,home_win,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/matches/ca830b8d/Montpellier-Stade-de-Reims-November-18-2023-Division-1-Feminine
2023-2024,8,2023-11-18,Sat,14:30 (05:30),Lille,Saint-Étienne,1,2,1–2,0.7,1.8,Stadium Lille Métropole - Terrain Annexe,479,Alexandra Collin,completed,away_win,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/matches/204dafb8/Lille-Saint-Etienne-November-18-2023-Division-1-Feminine
2023-2024,8,2023-11-19,Sun,15:00 (06:00),Paris S-G,Fleury,2,1,2–1,1.7,1.2,Stade Municipal Georges Lefèvre,499,Audrey Gerbel,completed,home_win,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/matches/78697c3e/Paris-Saint-Germain-Fleury-November-19-2023-Division-1-Feminine
2023-2024,8,2023-11-19,Sun,21:00 (12:00),Paris FC,Bordeaux,1,,1–0,1.9,0.1,Stade Sébastien Charléty,1621,Clémence Goncalves,completed,home_win,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/matches/7f7481a7/Paris-FC-Bordeaux-November-19-2023-Division-1-Feminine
2023-2024,9,2023-11-24,Fri,21:00 (12:00),Fleury,Le Havre,3,,3–0,0.0,0.0,Stade Robert Bobin,394,Maika Vanderstichel,completed,home_win,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/matches/a332bc14/Fleury-Le-Havre-November-24-2023-Division-1-Feminine
2023-2024,9,2023-11-25,Sat,14:30 (05:30),Bordeaux,Lille,3,,3–0,1.3,0.6,Stade Sainte-Germaine,836,Aurélie Efe,completed,home_win,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/matches/f5454901/Bordeaux-Lille-November-25-2023-Division-1-Feminine
2023-2024,9,2023-11-25,Sat,14:30 (05:30),Dijon,Saint-Étienne,3,2,3–2,2.8,1.2,Stade Gaston Gérard,659,Victoria Beyer,completed,home_win,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/matches/6280061c/Dijon-Saint-Etienne-November-25-2023-Division-1-Feminine
2023-2024,9,2023-11-26,Sun,14:30 (05:30),Stade de Reims,Paris FC,1,1,1–1,0.8,2.3,Stade Louis Blériot N°1,246,Romy Fournier,completed,draw,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/matches/53f83389/Stade-de-Reims-Paris-FC-November-26-2023-Division-1-Feminine
2023-2024,9,2023-11-26,Sun,14:30 (05:30),Paris S-G,Montpellier,4,1,4–1,4.1,2.4,Stade Municipal Georges Lefèvre,326,Alexandra Collin,completed,home_win,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/matches/423ef9d6/Paris-Saint-Germain-Montpellier-November-26-2023-Division-1-Feminine
2023-2024,9,2023-11-26,Sun,21:00 (12:00),Guingamp,Lyon,1,5,1–5,0.1,4.0,Stade du Roudourou,2230,Émeline Rochebilière,completed,away_win,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/matches/013c6622/Guingamp-Olympique-Lyonnais-November-26-2023-Division-1-Feminine
2023-2024,10,2023-12-08,Fri,21:00 (12:00),Lyon,Lille,5,,5–0,4.0,0.0,Stade Gérard Houillier 1,578,Céline Jeannot,completed,home_win,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/matches/6da4bd3a/Olympique-Lyonnais-Lille-December-8-2023-Division-1-Feminine
2023-2024,10,2023-12-09,Sat,13:00 (04:00),Saint-Étienne,Guingamp,2,1,2–1,1.4,0.7,Stade Aimé Jacquet,117,Audrey Gerbel,completed,home_win,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/matches/6ab1aaeb/Saint-Etienne-Guingamp-December-9-2023-Division-1-Feminine
2023-2024,10,2023-12-09,Sat,14:30 (05:30),Montpellier,Paris FC,1,4,1–4,0.9,3.5,Stade Bernard Gasset Terrain n°7,393,Émeline Rochebilière,completed,away_win,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/matches/f8cb4cc4/Montpellier-Paris-FC-December-9-2023-Division-1-Feminine
2023-2024,10,2023-12-09,Sat,14:30 (05:30),Stade de Reims,Fleury,2,,2–0,2.4,1.6,Stade Louis Blériot N°1,101,Victoria Beyer,completed,home_win,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/matches/67fb4bc7/Stade-de-Reims-Fleury-December-9-2023-Division-1-Feminine
2023-2024,10,2023-12-09,Sat,14:30 (05:30),Dijon,Bordeaux,1,,1–0,1.7,0.7,Stade Gaston Gérard,498,Charlène Laur,completed,home_win,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/matches/510d77bc/Dijon-Bordeaux-December-9-2023-Division-1-Feminine
2023-2024,10,2023-12-10,Sun,21:00 (12:00),Le Havre,Paris S-G,1,1,1–1,0.5,1.4,Stade Océane,2384,Elisa Daupeux,completed,draw,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/matches/45ef34ed/Le-Havre-Paris-Saint-Germain-December-10-2023-Division-1-Feminine
2023-2024,11,2023-12-15,Fri,21:00 (12:00),Montpellier,Le Havre,2,1,2–1,2.1,2.0,Stade Bernard Gasset Terrain n°7,391,Audrey Gerbel,completed,home_win,https://fbref.com/en/squads/7bbdea71/2023-2024/Montpellier-Women-Stats,https://fbref.com/en/squads/c57b7254/2023-2024/Le-Havre-Women-Stats,https://fbref.com/en/matches/a01d3b27/Montpellier-Le-Havre-December-15-2023-Division-1-Feminine
2023-2024,11,2023-12-16,Sat,13:30 (04:30),Fleury,Lyon,1,3,1–3,0.2,2.7,Stade Robert Bobin,1652,Émeline Rochebilière,completed,away_win,https://fbref.com/en/squads/4fcc2996/2023-2024/Fleury-Stats,https://fbref.com/en/squads/7f2012ad/2023-2024/Olympique-Lyonnais-Stats,https://fbref.com/en/matches/7ebb0d27/Fleury-Olympique-Lyonnais-December-16-2023-Division-1-Feminine
2023-2024,11,2023-12-16,Sat,14:00 (05:00),Guingamp,Dijon,1,1,1–1,1.0,0.5,Stade Centre Formation EAG 1,456,Aurélie Efe,completed,draw,https://fbref.com/en/squads/abc4f6d7/2023-2024/Guingamp-Women-Stats,https://fbref.com/en/squads/68f9fd31/2023-2024/Dijon-Women-Stats,https://fbref.com/en/matches/4d72ebcf/Guingamp-Dijon-December-16-2023-Division-1-Feminine
2023-2024,11,2023-12-16,Sat,14:30 (05:30),Lille,Stade de Reims,2,5,2–5,1.3,4.6,Stadium Lille Métropole - Terrain Annexe,472,Elisa Daupeux,completed,away_win,https://fbref.com/en/squads/6f14046a/Lille-Women-Stats,https://fbref.com/en/squads/e3696882/2023-2024/Stade-de-Reims-Women-Stats,https://fbref.com/en/matches/5c90a90c/Lille-Stade-de-Reims-December-16-2023-Division-1-Feminine
2023-2024,11,2023-12-16,Sat,17:45 (08:45),Bordeaux,Saint-Étienne,1,4,1–4,1.5,2.8,Stade Matmut-Atlantique,1000,Romy Fournier,completed,away_win,https://fbref.com/en/squads/69dee2b0/Bordeaux-Women-Stats,https://fbref.com/en/squads/c1a6475c/2023-2024/Saint-Etienne-Women-Stats,https://fbref.com/en/matches/2d61a7f4/Bordeaux-Saint-Etienne-December-16-2023-Division-1-Feminine
2023-2024,11,2023-12-17,Sun,21:00 (12:00),Paris FC,Paris S-G,1,2,1–2,1.7,1.8,Stade Sébastien Charléty,4002,Maika Vanderstichel,completed,away_win,https://fbref.com/en/squads/28d9b675/2023-2024/Paris-FC-Women-Stats,https://fbref.com/en/squads/80595417/2023-2024/Paris-Saint-Germain-Women-Stats,https://fbref.com/en/matches/8e65cb75/Paris-FC-Paris-Saint-Germain-December-17-2023-Division-1-Feminine
