gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
1,2018-09-09,Sun,12:30 (04:30),Arsenal,Liverpool,5,,5–0,2.4,0.6,Meadow Park,1173,Jason Richardson,completed,home_win,https://fbref.com/en/squads/411b1108/2018-2019/Arsenal-Women-Stats,https://fbref.com/en/squads/00f74a56/2018-2019/Liverpool-Women-Stats,https://fbref.com/en/matches/dbf8edd2/Arsenal-Liverpool-September-9-2018-Womens-Super-League
1,2018-09-09,Sun,14:00 (06:00),Brighton,Bristol City,,1,0–1,0.6,0.6,Checkatrade.com Stadium,414,Jack Packman,completed,away_win,https://fbref.com/en/squads/fa2752bc/2018-2019/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/41916f68/2018-2019/Bristol-City-Women-Stats,https://fbref.com/en/matches/7e7d9a43/Brighton-and-Hove-Albion-Bristol-City-September-9-2018-Womens-Super-League
1,2018-09-09,Sun,14:00 (06:00),Reading,Yeovil Town,4,,4–0,4.2,0.7,Adams Park,464,Helen Conley,completed,home_win,https://fbref.com/en/squads/5d020380/2018-2019/Reading-Women-Stats,https://fbref.com/en/squads/a506e4a2/Yeovil-Town-Women-Stats,https://fbref.com/en/matches/e7b63479/Reading-Yeovil-Town-September-9-2018-Womens-Super-League
1,2018-09-09,Sun,14:00 (06:00),Birmingham City,Everton,1,,1–0,1.1,0.2,Damson Park,603,James Bell,completed,home_win,https://fbref.com/en/squads/e3719fe4/2018-2019/Birmingham-City-Women-Stats,https://fbref.com/en/squads/c4989550/2018-2019/Everton-Women-Stats,https://fbref.com/en/matches/2465caa9/Birmingham-City-Everton-September-9-2018-Womens-Super-League
1,2018-09-09,Sun,14:00 (06:00),Chelsea,Manchester City,,,0–0,0.6,0.7,Cherry Red Records Fans' Stadium,2501,Rebecca Welch,completed,draw,https://fbref.com/en/squads/a6a4e67d/2018-2019/Chelsea-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2018-2019/Manchester-City-Women-Stats,https://fbref.com/en/matches/a3399276/Chelsea-Manchester-City-September-9-2018-Womens-Super-League
2,2018-09-19,Wed,19:00 (11:00),Bristol City,Chelsea,,,0–0,0.1,1.3,Stoke Gifford Stadium,,Stacey Pearson,completed,draw,https://fbref.com/en/squads/41916f68/2018-2019/Bristol-City-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2018-2019/Chelsea-Women-Stats,https://fbref.com/en/matches/1951c93c/Bristol-City-Chelsea-September-19-2018-Womens-Super-League
2,2018-09-19,Wed,19:30 (11:30),Birmingham City,Brighton,1,,1–0,1.0,0.6,Damson Park,449,James Oldham,completed,home_win,https://fbref.com/en/squads/e3719fe4/2018-2019/Birmingham-City-Women-Stats,https://fbref.com/en/squads/fa2752bc/2018-2019/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/ed2b1a68/Birmingham-City-Brighton-and-Hove-Albion-September-19-2018-Womens-Super-League
2,2018-09-19,Wed,19:45 (11:45),Yeovil Town,Arsenal,,7,0–7,0.5,3.4,Jewson Stadium,1101,Scott Jackson,completed,away_win,https://fbref.com/en/squads/a506e4a2/Yeovil-Town-Women-Stats,https://fbref.com/en/squads/411b1108/2018-2019/Arsenal-Women-Stats,https://fbref.com/en/matches/f2f07eb5/Yeovil-Town-Arsenal-September-19-2018-Womens-Super-League
2,2018-09-19,Wed,19:45 (11:45),West Ham,Reading,,,0–0,0.5,1.4,The Rush Green Bowl,658,Abby Marriott,completed,draw,https://fbref.com/en/squads/52d65cea/2018-2019/West-Ham-United-Women-Stats,https://fbref.com/en/squads/5d020380/2018-2019/Reading-Women-Stats,https://fbref.com/en/matches/2d977507/West-Ham-United-Reading-September-19-2018-Womens-Super-League
2,2018-09-20,Thu,19:00 (11:00),Everton,Manchester City,,4,0–4,0.7,2.5,Haig Avenue,296,Lucy Oliver,completed,away_win,https://fbref.com/en/squads/c4989550/2018-2019/Everton-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2018-2019/Manchester-City-Women-Stats,https://fbref.com/en/matches/165644ce/Everton-Manchester-City-September-20-2018-Womens-Super-League
3,2018-09-23,Sun,12:15 (04:15),Brighton,Liverpool,,1,0–1,0.5,0.4,Checkatrade.com Stadium,443,Amy Fearn,completed,away_win,https://fbref.com/en/squads/fa2752bc/2018-2019/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/00f74a56/2018-2019/Liverpool-Women-Stats,https://fbref.com/en/matches/1375ef0e/Brighton-and-Hove-Albion-Liverpool-September-23-2018-Womens-Super-League
