gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
1,2020-09-05,Sat,14:30 (06:30),Aston Villa,Manchester City,,2,0–2,0.9,2.8,Villa Park,,Abigail Bryne,completed,away_win,https://fbref.com/en/squads/53157aa8/2020-2021/Aston-Villa-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2020-2021/Manchester-City-Women-Stats,https://fbref.com/en/matches/a1913b17/Aston-Villa-Manchester-City-September-5-2020-Womens-Super-League
1,2020-09-06,Sun,12:30 (04:30),Arsenal,Reading,6,1,6–1,4.0,1.0,Meadow Park,,Amy Fearn,completed,home_win,https://fbref.com/en/squads/411b1108/2020-2021/Arsenal-Women-Stats,https://fbref.com/en/squads/5d020380/2020-2021/Reading-Women-Stats,https://fbref.com/en/matches/a79a29d0/Arsenal-Reading-September-6-2020-Womens-Super-League
1,2020-09-06,Sun,14:00 (06:00),Bristol City,Everton,,4,0–4,0.8,3.2,Twerton Park Stadium,,Scott Jackson,completed,away_win,https://fbref.com/en/squads/41916f68/2020-2021/Bristol-City-Women-Stats,https://fbref.com/en/squads/c4989550/2020-2021/Everton-Women-Stats,https://fbref.com/en/matches/a44c78ff/Bristol-City-Everton-September-6-2020-Womens-Super-League
1,2020-09-06,Sun,14:00 (06:00),Tottenham,West Ham,1,1,1–1,0.7,1.1,The Hive Stadium,,Kirsty Dowle,completed,draw,https://fbref.com/en/squads/e8e4577c/2020-2021/Tottenham-Women-Stats,https://fbref.com/en/squads/52d65cea/2020-2021/West-Ham-United-Women-Stats,https://fbref.com/en/matches/32c9dd81/Tottenham-West-Ham-United-September-6-2020-Womens-Super-League
1,2020-09-06,Sun,14:00 (06:00),Brighton,Birmingham City,2,,2–0,1.2,0.2,The People’s Pension Stadium,,Rob Whitton,completed,home_win,https://fbref.com/en/squads/fa2752bc/2020-2021/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/e3719fe4/2020-2021/Birmingham-City-Women-Stats,https://fbref.com/en/matches/64894678/Brighton-and-Hove-Albion-Birmingham-City-September-6-2020-Womens-Super-League
1,2020-09-06,Sun,14:30 (06:30),Manchester Utd,Chelsea,1,1,1–1,1.4,3.2,Leigh Sports Village Stadium,,Rebecca Welch,completed,draw,https://fbref.com/en/squads/0bbd83f6/2020-2021/Manchester-United-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2020-2021/Chelsea-Women-Stats,https://fbref.com/en/matches/0cbb7d88/Manchester-United-Chelsea-September-6-2020-Womens-Super-League
2,2020-09-12,Sat,17:20 (09:20),West Ham,Arsenal,1,9,1–9,0.1,3.7,Chigwell Construction Stadium,,Abigail Bryne,completed,away_win,https://fbref.com/en/squads/52d65cea/2020-2021/West-Ham-United-Women-Stats,https://fbref.com/en/squads/411b1108/2020-2021/Arsenal-Women-Stats,https://fbref.com/en/matches/4664997d/West-Ham-United-Arsenal-September-12-2020-Womens-Super-League
2,2020-09-13,Sun,12:30 (04:30),Chelsea,Bristol City,9,,9–0,6.6,0.1,Cherry Red Records Fans' Stadium,,Stacey Pearson,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2020-2021/Chelsea-Women-Stats,https://fbref.com/en/squads/41916f68/2020-2021/Bristol-City-Women-Stats,https://fbref.com/en/matches/4d2f1efd/Chelsea-Bristol-City-September-13-2020-Womens-Super-League
2,2020-09-13,Sun,13:00 (05:00),Everton,Tottenham,1,,1–0,1.3,0.4,Walton Hall Park,,Robert Massey Ellis,completed,home_win,https://fbref.com/en/squads/c4989550/2020-2021/Everton-Women-Stats,https://fbref.com/en/squads/e8e4577c/2020-2021/Tottenham-Women-Stats,https://fbref.com/en/matches/afdc7472/Everton-Tottenham-September-13-2020-Womens-Super-League
2,2020-09-13,Sun,14:00 (06:00),Reading,Aston Villa,3,1,3–1,3.6,1.2,Madejski Stadium,,Emily Heaslip,completed,home_win,https://fbref.com/en/squads/5d020380/2020-2021/Reading-Women-Stats,https://fbref.com/en/squads/53157aa8/2020-2021/Aston-Villa-Women-Stats,https://fbref.com/en/matches/d4a055ea/Reading-Aston-Villa-September-13-2020-Womens-Super-League
2,2020-09-13,Sun,14:00 (06:00),Manchester City,Brighton,,,0–0,2.0,0.3,Academy Stadium,,Helen Conley,completed,draw,https://fbref.com/en/squads/9ce68f8a/2020-2021/Manchester-City-Women-Stats,https://fbref.com/en/squads/fa2752bc/2020-2021/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/f35cf26c/Manchester-City-Brighton-and-Hove-Albion-September-13-2020-Womens-Super-League
