season,season_url,competition,competition_url,squads,champ,top_scorer,top_scorer_url,league,country,gender
2025-2026,https://fbref.com/en/comps/193/Premiere-Ligue-Stats,Première Ligue,https://fbref.com/en/comps/193/Premiere-Ligue-Stats,12,,Inès Konan - 5,https://fbref.com/en/players/b789a81a/Ines-Konan,Women's Super League,England,F
2024-2025,https://fbref.com/en/comps/193/2024-2025/2024-2025-Premiere-Ligue-Stats,Première Ligue,https://fbref.com/en/comps/193/2024-2025/2024-2025-Premiere-Ligue-Stats,12,,Clara Matéo - 18,https://fbref.com/en/players/acd235bb/Clara-Mateo,Women's Super League,England,F
2023-2024,https://fbref.com/en/comps/193/2023-2024/2023-2024-Premiere-Ligue-Stats,Championnat de France de Football Féminin,https://fbref.com/en/comps/193/2023-2024/2023-2024-Premiere-Ligue-Stats,12,,Tabitha Chawinga - 18,https://fbref.com/en/players/d703ce72/Tabitha-Chawinga,Women's Super League,England,F
2022-2023,https://fbref.com/en/comps/193/2022-2023/2022-2023-Premiere-Ligue-Stats,Championnat de France de Football Féminin,https://fbref.com/en/comps/193/2022-2023/2022-2023-Premiere-Ligue-Stats,12,,Kadidiatou Diani - 17,https://fbref.com/en/players/facfa8cb/Kadidiatou-Diani,Women's Super League,England,F
2021-2022,https://fbref.com/en/comps/193/2021-2022/2021-2022-Premiere-Ligue-Stats,Championnat de France de Football Féminin,https://fbref.com/en/comps/193/2021-2022/2021-2022-Premiere-Ligue-Stats,12,,Marie-Antoinette Katoto - 18,https://fbref.com/en/players/bb410065/Marie-Antoinette-Katoto,Women's Super League,England,F
2020-2021,https://fbref.com/en/comps/193/2020-2021/2020-2021-Premiere-Ligue-Stats,Championnat de France de Football Féminin,https://fbref.com/en/comps/193/2020-2021/2020-2021-Premiere-Ligue-Stats,12,,Khadija Shaw - 22,https://fbref.com/en/players/915083f0/Khadija-Shaw,Women's Super League,England,F
2019-2020,https://fbref.com/en/comps/193/2019-2020/2019-2020-Premiere-Ligue-Stats,Championnat de France de Football Féminin,https://fbref.com/en/comps/193/2019-2020/2019-2020-Premiere-Ligue-Stats,12,,Marie-Antoinette Katoto - 16,https://fbref.com/en/players/bb410065/Marie-Antoinette-Katoto,Women's Super League,England,F
2018-2019,https://fbref.com/en/comps/193/2018-2019/2018-2019-Premiere-Ligue-Stats,Championnat de France de Football Féminin,https://fbref.com/en/comps/193/2018-2019/2018-2019-Premiere-Ligue-Stats,12,,Marie-Antoinette Katoto - 22,https://fbref.com/en/players/bb410065/Marie-Antoinette-Katoto,Women's Super League,England,F
2017-2018,https://fbref.com/en/comps/193/2017-2018/2017-2018-Premiere-Ligue-Stats,Championnat de France de Football Féminin,https://fbref.com/en/comps/193/2017-2018/2017-2018-Premiere-Ligue-Stats,12,,Ada Hegerberg - 31,https://fbref.com/en/players/3a6b01d9/Ada-Hegerberg,Women's Super League,England,F
