season,fixtures_count,status,fixtures_url
2024-2025,0,no_data,"https://fbref.com/en/comps/183/2024-2025/2024-2025-Frauen-Bundesliga-Stats"
2023-2024,0,no_data,"https://fbref.com/en/comps/183/2023-2024/2023-2024-Frauen-Bundesliga-Stats"
