season,season_url,competition,competition_url,squads,champ,top_scorer,top_scorer_url,league,gender
2025-2026,https://fbref.com/en/comps/230/Liga-F-Stats,Liga F,https://fbref.com/en/comps/230/Liga-F-Stats,16,,Claudia Pina - 7,https://fbref.com/en/players/1e3ba0ba/Claudia-Pina,230,F
2024-2025,https://fbref.com/en/comps/230/2024-2025/2024-2025-Liga-F-Stats,Liga F,https://fbref.com/en/comps/230/2024-2025/2024-2025-Liga-F-Stats,16,,Ewa Pajor - 25,https://fbref.com/en/players/d47a1efd/Ewa-Pajor,230,F
2023-2024,https://fbref.com/en/comps/230/2023-2024/2023-2024-Liga-F-Stats,Liga F,https://fbref.com/en/comps/230/2023-2024/2023-2024-Liga-F-Stats,16,,Caroline Graham Hansen - 21,https://fbref.com/en/players/e891b7ae/Caroline-Graham-Hansen,230,F
2022-2023,https://fbref.com/en/comps/230/2022-2023/2022-2023-Liga-F-Stats,Liga F,https://fbref.com/en/comps/230/2022-2023/2022-2023-Liga-F-Stats,16,,Alba Redondo - 27,https://fbref.com/en/players/73ea3a61/Alba-Redondo,230,F
