season,fixtures_count,status,fixtures_url
2025-2026,240,success,"https://fbref.com/en/comps/230/schedule/Liga F-Scores-and-Fixtures"
2024-2025,240,success,"https://fbref.com/en/comps/230/2024-2025/schedule/2024-2025-Liga F-Scores-and-Fixtures"
2023-2024,240,success,"https://fbref.com/en/comps/230/2023-2024/schedule/2023-2024-Liga F-Scores-and-Fixtures"
2022-2023,240,success,"https://fbref.com/en/comps/230/2022-2023/schedule/2022-2023-Liga F-Scores-and-Fixtures"
