gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
4,2022-10-16,Sun,12:00 (04:00),Manchester Utd,Brighton,4,,4–0,1.5,0.4,Leigh Sports Village Stadium,3685,Emily Heaslip,completed,home_win,https://fbref.com/en/squads/0bbd83f6/2022-2023/Manchester-United-Women-Stats,https://fbref.com/en/squads/fa2752bc/2022-2023/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/953b5a52/Manchester-United-Brighton-and-Hove-Albion-October-16-2022-Womens-Super-League
4,2022-10-16,Sun,13:00 (05:00),Everton,Chelsea,1,3,1–3,0.7,2.3,Walton Hall Park,1668,Lauren Impey,completed,away_win,https://fbref.com/en/squads/c4989550/2022-2023/Everton-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2022-2023/Chelsea-Women-Stats,https://fbref.com/en/matches/2f9fc086/Everton-Chelsea-October-16-2022-Womens-Super-League
4,2022-10-16,Sun,14:00 (06:00),Tottenham,Liverpool,1,,1–0,1.1,0.5,The Breyer Group Stadium,2105,Abigail Bryne,completed,home_win,https://fbref.com/en/squads/e8e4577c/2022-2023/Tottenham-Women-Stats,https://fbref.com/en/squads/00f74a56/2022-2023/Liverpool-Women-Stats,https://fbref.com/en/matches/41786f2a/Tottenham-Liverpool-October-16-2022-Womens-Super-League
4,2022-10-16,Sun,14:00 (06:00),Manchester City,Leicester City,4,,4–0,3.3,0.2,Academy Stadium,2853,Farai Hallam,completed,home_win,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/squads/23bce84e/2022-2023/Leicester-City-Women-Stats,https://fbref.com/en/matches/d1a1d0bb/Manchester-City-Leicester-City-October-16-2022-Womens-Super-League
4,2022-10-16,Sun,18:45 (10:45),Reading,Arsenal,,1,0–1,0.7,2.1,Select Car Leasing Stadium,3660,Louise Saunders,completed,away_win,https://fbref.com/en/squads/5d020380/Reading-Women-Stats,https://fbref.com/en/squads/411b1108/2022-2023/Arsenal-Women-Stats,https://fbref.com/en/matches/a2480bce/Reading-Arsenal-October-16-2022-Womens-Super-League
5,2022-10-22,Sat,11:30 (03:30),Tottenham,Manchester City,,3,0–3,0.1,0.9,The Breyer Group Stadium,1888,Emily Heaslip,completed,away_win,https://fbref.com/en/squads/e8e4577c/2022-2023/Tottenham-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/matches/b1f0dd4a/Tottenham-Manchester-City-October-22-2022-Womens-Super-League
5,2022-10-22,Sat,12:30 (04:30),Aston Villa,Everton,,1,0–1,0.7,0.8,The Breyer Group Stadium,1636,Kirsty Dowle,completed,away_win,https://fbref.com/en/squads/53157aa8/2022-2023/Aston-Villa-Women-Stats,https://fbref.com/en/squads/c4989550/2022-2023/Everton-Women-Stats,https://fbref.com/en/matches/511bd5e3/Aston-Villa-Everton-October-22-2022-Womens-Super-League
5,2022-10-23,Sun,12:00 (04:00),Liverpool,Arsenal,,2,0–2,0.7,1.4,Prenton Park,3348,Anthony Backhouse,completed,away_win,https://fbref.com/en/squads/00f74a56/2022-2023/Liverpool-Women-Stats,https://fbref.com/en/squads/411b1108/2022-2023/Arsenal-Women-Stats,https://fbref.com/en/matches/d51d1877/Liverpool-Arsenal-October-23-2022-Womens-Super-League
5,2022-10-23,Sun,15:00 (07:00),West Ham,Reading,3,2,3–2,1.6,1.4,Chigwell Construction Stadium,1041,Lauren Impey,completed,home_win,https://fbref.com/en/squads/52d65cea/2022-2023/West-Ham-United-Women-Stats,https://fbref.com/en/squads/5d020380/Reading-Women-Stats,https://fbref.com/en/matches/8c2ebe18/West-Ham-United-Reading-October-23-2022-Womens-Super-League
5,2022-10-23,Sun,15:00 (07:00),Leicester City,Manchester Utd,,1,0–1,0.3,0.8,King Power Stadium,4007,Neil Hair,completed,away_win,https://fbref.com/en/squads/23bce84e/2022-2023/Leicester-City-Women-Stats,https://fbref.com/en/squads/0bbd83f6/2022-2023/Manchester-United-Women-Stats,https://fbref.com/en/matches/5e700126/Leicester-City-Manchester-United-October-23-2022-Womens-Super-League
5,2022-10-23,Sun,18:45 (10:45),Brighton,Chelsea,,2,0–2,1.0,2.0,The People’s Pension Stadium,3626,Abigail Bryne,completed,away_win,https://fbref.com/en/squads/fa2752bc/2022-2023/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2022-2023/Chelsea-Women-Stats,https://fbref.com/en/matches/538677e8/Brighton-and-Hove-Albion-Chelsea-October-23-2022-Womens-Super-League
6,2022-10-30,Sun,14:00 (07:00),Chelsea,Aston Villa,3,1,3–1,1.7,0.6,Cherry Red Records Fans' Stadium,4373,Martin Woods,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2022-2023/Chelsea-Women-Stats,https://fbref.com/en/squads/53157aa8/2022-2023/Aston-Villa-Women-Stats,https://fbref.com/en/matches/fb3a625e/Chelsea-Aston-Villa-October-30-2022-Womens-Super-League
6,2022-10-30,Sun,14:00 (07:00),Everton,Manchester Utd,,3,0–3,0.3,0.7,Walton Hall Park,1752,Adam Herczeg,completed,away_win,https://fbref.com/en/squads/c4989550/2022-2023/Everton-Women-Stats,https://fbref.com/en/squads/0bbd83f6/2022-2023/Manchester-United-Women-Stats,https://fbref.com/en/matches/9702c681/Everton-Manchester-United-October-30-2022-Womens-Super-League
6,2022-10-30,Sun,14:00 (07:00),Manchester City,Liverpool,2,1,2–1,2.1,0.9,Academy Stadium,4002,Kirsty Dowle,completed,home_win,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/squads/00f74a56/2022-2023/Liverpool-Women-Stats,https://fbref.com/en/matches/2c61756e/Manchester-City-Liverpool-October-30-2022-Womens-Super-League
6,2022-10-30,Sun,14:00 (07:00),Reading,Leicester City,2,1,2–1,0.4,0.3,Select Car Leasing Stadium,1559,Emily Heaslip,completed,home_win,https://fbref.com/en/squads/5d020380/Reading-Women-Stats,https://fbref.com/en/squads/23bce84e/2022-2023/Leicester-City-Women-Stats,https://fbref.com/en/matches/15fc899a/Reading-Leicester-City-October-30-2022-Womens-Super-League
6,2022-10-30,Sun,14:00 (07:00),Brighton,Tottenham,,8,0–8,0.8,2.8,The People’s Pension Stadium,2514,Louise Saunders,completed,away_win,https://fbref.com/en/squads/fa2752bc/2022-2023/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/e8e4577c/2022-2023/Tottenham-Women-Stats,https://fbref.com/en/matches/4596f4cb/Brighton-and-Hove-Albion-Tottenham-October-30-2022-Womens-Super-League
6,2022-10-30,Sun,18:45 (11:45),Arsenal,West Ham,3,1,3–1,1.6,1.3,Meadow Park,3988,Abigail Bryne,completed,home_win,https://fbref.com/en/squads/411b1108/2022-2023/Arsenal-Women-Stats,https://fbref.com/en/squads/52d65cea/2022-2023/West-Ham-United-Women-Stats,https://fbref.com/en/matches/ce07ffbb/Arsenal-West-Ham-United-October-30-2022-Womens-Super-League
7,2022-11-06,Sun,14:00 (06:00),Reading,Manchester City,,3,0–3,0.1,1.4,Select Car Leasing Stadium,1911,Abigail Byrne,completed,away_win,https://fbref.com/en/squads/5d020380/Reading-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/matches/7650622e/Reading-Manchester-City-November-6-2022-Womens-Super-League
7,2022-11-06,Sun,14:00 (06:00),Leicester City,Arsenal,,4,0–4,0.2,1.9,King Power Stadium,3590,Amy Fearn,completed,away_win,https://fbref.com/en/squads/23bce84e/2022-2023/Leicester-City-Women-Stats,https://fbref.com/en/squads/411b1108/2022-2023/Arsenal-Women-Stats,https://fbref.com/en/matches/716095ef/Leicester-City-Arsenal-November-6-2022-Womens-Super-League
7,2022-11-06,Sun,14:00 (06:00),Liverpool,Aston Villa,,1,0–1,1.1,1.5,Prenton Park,1719,Robert Massey Ellis,completed,away_win,https://fbref.com/en/squads/00f74a56/2022-2023/Liverpool-Women-Stats,https://fbref.com/en/squads/53157aa8/2022-2023/Aston-Villa-Women-Stats,https://fbref.com/en/matches/fb06e388/Liverpool-Aston-Villa-November-6-2022-Womens-Super-League
7,2022-11-06,Sun,15:00 (07:00),West Ham,Brighton,4,5,4–5,1.1,3.5,Chigwell Construction Stadium,1129,Emily Heaslip,completed,away_win,https://fbref.com/en/squads/52d65cea/2022-2023/West-Ham-United-Women-Stats,https://fbref.com/en/squads/fa2752bc/2022-2023/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/9170bfbb/West-Ham-United-Brighton-and-Hove-Albion-November-6-2022-Womens-Super-League
7,2022-11-06,Sun,18:45 (10:45),Manchester Utd,Chelsea,1,3,1–3,0.5,1.2,Leigh Sports Village Stadium,6186,Cheryl Foster,completed,away_win,https://fbref.com/en/squads/0bbd83f6/2022-2023/Manchester-United-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2022-2023/Chelsea-Women-Stats,https://fbref.com/en/matches/35532e85/Manchester-United-Chelsea-November-6-2022-Womens-Super-League
8,2022-11-19,Sat,15:00 (07:00),Everton,Manchester City,1,2,1–2,0.4,3.7,Walton Hall Park,960,Emily Heaslip,completed,away_win,https://fbref.com/en/squads/c4989550/2022-2023/Everton-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2022-2023/Manchester-City-Women-Stats,https://fbref.com/en/matches/a6a55939/Everton-Manchester-City-November-19-2022-Womens-Super-League
8,2022-11-19,Sat,17:30 (09:30),Arsenal,Manchester Utd,2,3,2–3,0.8,0.9,Emirates Stadium,40604,Kirsty Dowle,completed,away_win,https://fbref.com/en/squads/411b1108/2022-2023/Arsenal-Women-Stats,https://fbref.com/en/squads/0bbd83f6/2022-2023/Manchester-United-Women-Stats,https://fbref.com/en/matches/2d9247a4/Arsenal-Manchester-United-November-19-2022-Womens-Super-League
8,2022-11-20,Sun,13:00 (05:00),Chelsea,Tottenham,3,,3–0,1.5,0.7,Stamford Bridge,38350,Rebecca Welch,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2022-2023/Chelsea-Women-Stats,https://fbref.com/en/squads/e8e4577c/2022-2023/Tottenham-Women-Stats,https://fbref.com/en/matches/a382ec82/Chelsea-Tottenham-November-20-2022-Womens-Super-League
8,2022-11-20,Sun,14:00 (06:00),Aston Villa,Reading,3,1,3–1,2.4,0.4,Villa Park,4566,Adam Herczeg,completed,home_win,https://fbref.com/en/squads/53157aa8/2022-2023/Aston-Villa-Women-Stats,https://fbref.com/en/squads/5d020380/Reading-Women-Stats,https://fbref.com/en/matches/efe51e8b/Aston-Villa-Reading-November-20-2022-Womens-Super-League
8,2022-11-20,Sun,14:00 (06:00),Brighton,Liverpool,3,3,3–3,1.5,1.3,The People’s Pension Stadium,2980,Abigail Byrne,completed,draw,https://fbref.com/en/squads/fa2752bc/2022-2023/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/00f74a56/2022-2023/Liverpool-Women-Stats,https://fbref.com/en/matches/f19b5f1e/Brighton-and-Hove-Albion-Liverpool-November-20-2022-Womens-Super-League
8,2022-11-20,Sun,15:00 (07:00),West Ham,Leicester City,1,,1–0,0.6,1.3,Chigwell Construction Stadium,1038,Louise Saunders,completed,home_win,https://fbref.com/en/squads/52d65cea/2022-2023/West-Ham-United-Women-Stats,https://fbref.com/en/squads/23bce84e/2022-2023/Leicester-City-Women-Stats,https://fbref.com/en/matches/c669fec9/West-Ham-United-Leicester-City-November-20-2022-Womens-Super-League
1,2022-11-24,Thu,19:00 (11:00),Reading,Liverpool,3,3,3–3,1.7,1.1,Select Car Leasing Stadium,1479,Amy Fearn,completed,draw,https://fbref.com/en/squads/5d020380/Reading-Women-Stats,https://fbref.com/en/squads/00f74a56/2022-2023/Liverpool-Women-Stats,https://fbref.com/en/matches/84723e44/Reading-Liverpool-November-24-2022-Womens-Super-League
