gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
,2017-05-21,Sun,14:00 (06:00),Manchester City,Yeovil Town,5,1,5–1,,,Academy Stadium,1153,Paul Graham,completed,home_win,https://fbref.com/en/squads/9ce68f8a/2017/Manchester-City-Women-Stats,https://fbref.com/en/squads/a506e4a2/2017/Yeovil-Town-Women-Stats,https://fbref.com/en/matches/5765adac/Manchester-City-Yeovil-Town-May-21-2017-Womens-Super-League-1
,2017-05-25,Thu,19:00 (11:00),Manchester City,Chelsea,1,,1–0,,,Academy Stadium,1069,Simeon Lucas,completed,home_win,https://fbref.com/en/squads/9ce68f8a/2017/Manchester-City-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2017/Chelsea-Women-Stats,https://fbref.com/en/matches/fee1d5c1/Manchester-City-Chelsea-May-25-2017-Womens-Super-League-1
,2017-05-27,Sat,,Notts County,Bristol City,,,,,,,,,scheduled,,https://fbref.com/en/squads/f82eb08f/2017/Notts-County-Women-Stats,https://fbref.com/en/squads/41916f68/2017/Bristol-City-Women-Stats,https://fbref.com/en/matches/0908d645/Notts-County-Bristol-City-May-27-2017-Womens-Super-League-1
,2017-05-28,Sun,12:00 (04:00),Manchester City,Arsenal,,1,0–1,,,Academy Stadium,1808,Anthony Tankard,completed,away_win,https://fbref.com/en/squads/9ce68f8a/2017/Manchester-City-Women-Stats,https://fbref.com/en/squads/411b1108/2017/Arsenal-Women-Stats,https://fbref.com/en/matches/4a959fe4/Manchester-City-Arsenal-May-28-2017-Womens-Super-League-1
,2017-05-28,Sun,12:05 (04:05),Chelsea,Liverpool,7,,7–0,,,Wheatsheaf Park,1654,Jakub Myles,completed,home_win,https://fbref.com/en/squads/a6a4e67d/2017/Chelsea-Women-Stats,https://fbref.com/en/squads/00f74a56/2017/Liverpool-Women-Stats,https://fbref.com/en/matches/b6e708a6/Chelsea-Liverpool-May-28-2017-Womens-Super-League-1
,2017-05-28,Sun,14:00 (06:00),Yeovil Town,Sunderland,1,2,1–2,,,Fairfax Park,331,Simon Shaw,completed,away_win,https://fbref.com/en/squads/a506e4a2/2017/Yeovil-Town-Women-Stats,https://fbref.com/en/squads/5c4949e8/2017/Sunderland-Women-Stats,https://fbref.com/en/matches/a6c0bac5/Yeovil-Town-Sunderland-May-28-2017-Womens-Super-League-1
,2017-05-28,Sun,14:00 (06:00),Reading,Birmingham City,1,1,1–1,,,Adams Park,536,Stephen Bates,completed,draw,https://fbref.com/en/squads/5d020380/2017/Reading-Women-Stats,https://fbref.com/en/squads/e3719fe4/2017/Birmingham-City-Women-Stats,https://fbref.com/en/matches/018c68b2/Reading-Birmingham-City-May-28-2017-Womens-Super-League-1
,2017-05-30,Tue,,Liverpool,Notts County,,,,,,,,,scheduled,,https://fbref.com/en/squads/00f74a56/2017/Liverpool-Women-Stats,https://fbref.com/en/squads/f82eb08f/2017/Notts-County-Women-Stats,https://fbref.com/en/matches/29d9be8d/Liverpool-Notts-County-May-30-2017-Womens-Super-League-1
,2017-05-31,Wed,19:00 (11:00),Sunderland,Manchester City,,1,0–1,,,Eppleton Colliery Football Ground,1054,Andrew Miller,completed,away_win,https://fbref.com/en/squads/5c4949e8/2017/Sunderland-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2017/Manchester-City-Women-Stats,https://fbref.com/en/matches/e68d188d/Sunderland-Manchester-City-May-31-2017-Womens-Super-League-1
,2017-05-31,Wed,19:05 (11:05),Bristol City,Chelsea,,4,0–4,,,Stoke Gifford Stadium,823,Richard Hulme,completed,away_win,https://fbref.com/en/squads/41916f68/2017/Bristol-City-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2017/Chelsea-Women-Stats,https://fbref.com/en/matches/e2b68c5a/Bristol-City-Chelsea-May-31-2017-Womens-Super-League-1
,2017-05-31,Wed,19:30 (11:30),Arsenal,Reading,1,,1–0,,,The Hive Stadium,870,Alan Dale,completed,home_win,https://fbref.com/en/squads/411b1108/2017/Arsenal-Women-Stats,https://fbref.com/en/squads/5d020380/2017/Reading-Women-Stats,https://fbref.com/en/matches/2ab65185/Arsenal-Reading-May-31-2017-Womens-Super-League-1
,2017-05-31,Wed,19:45 (11:45),Birmingham City,Yeovil Town,,,0–0,,,Damson Park,625,Matthew Law,completed,draw,https://fbref.com/en/squads/e3719fe4/2017/Birmingham-City-Women-Stats,https://fbref.com/en/squads/a506e4a2/2017/Yeovil-Town-Women-Stats,https://fbref.com/en/matches/1f3cbccb/Birmingham-City-Yeovil-Town-May-31-2017-Womens-Super-League-1
,2017-06-02,Fri,,Yeovil Town,Notts County,,,,,,,,,scheduled,,https://fbref.com/en/squads/a506e4a2/2017/Yeovil-Town-Women-Stats,https://fbref.com/en/squads/f82eb08f/2017/Notts-County-Women-Stats,https://fbref.com/en/matches/f40ae158/Yeovil-Town-Notts-County-June-2-2017-Womens-Super-League-1
,2017-06-03,Sat,15:30 (07:30),Bristol City,Arsenal,,5,0–5,,,Stoke Gifford Stadium,1050,Samuel Allison,completed,away_win,https://fbref.com/en/squads/41916f68/2017/Bristol-City-Women-Stats,https://fbref.com/en/squads/411b1108/2017/Arsenal-Women-Stats,https://fbref.com/en/matches/6c49aa2e/Bristol-City-Arsenal-June-3-2017-Womens-Super-League-1
,2017-06-03,Sat,15:30 (07:30),Sunderland,Reading,1,1,1–1,,,Eppleton Colliery Football Ground,464,Paul Brown,completed,draw,https://fbref.com/en/squads/5c4949e8/2017/Sunderland-Women-Stats,https://fbref.com/en/squads/5d020380/2017/Reading-Women-Stats,https://fbref.com/en/matches/567138bc/Sunderland-Reading-June-3-2017-Womens-Super-League-1
,2017-06-03,Sat,15:30 (07:30),Birmingham City,Chelsea,,2,0–2,,,Damson Park,1171,Daniel Middleton,completed,away_win,https://fbref.com/en/squads/e3719fe4/2017/Birmingham-City-Women-Stats,https://fbref.com/en/squads/a6a4e67d/2017/Chelsea-Women-Stats,https://fbref.com/en/matches/3182a2e4/Birmingham-City-Chelsea-June-3-2017-Womens-Super-League-1
,2017-06-03,Sat,15:30 (07:30),Liverpool,Manchester City,1,3,1–3,,,Select Security Stadium,1508,Peter Gibbons,completed,away_win,https://fbref.com/en/squads/00f74a56/2017/Liverpool-Women-Stats,https://fbref.com/en/squads/9ce68f8a/2017/Manchester-City-Women-Stats,https://fbref.com/en/matches/21e1420a/Liverpool-Manchester-City-June-3-2017-Womens-Super-League-1
