gameweek,date,day_of_week,start_time,home_team,away_team,home_score,away_score,score,home_xg,away_xg,venue,attendance,referee,status,result,home_team_url,away_team_url,match_report_url
1,2025-09-05,Fri,19:30 (11:30),Chelsea,Manchester City,2,1,2–1,1.5,1.5,Stamford Bridge,,Emily Heaslip,completed,home_win,https://fbref.com/en/squads/a6a4e67d/Chelsea-Women-Stats,https://fbref.com/en/squads/9ce68f8a/Manchester-City-Women-Stats,https://fbref.com/en/matches/13f68787/Chelsea-Manchester-City-September-5-2025-Womens-Super-League
1,2025-09-06,Sat,13:30 (05:30),Arsenal,Lionesses,4,1,4–1,3.0,0.9,Emirates Stadium,38142,Stacey Fullicks,completed,home_win,https://fbref.com/en/squads/411b1108/Arsenal-Women-Stats,https://fbref.com/en/squads/5e296e13/London-City-Lionesses-Stats,https://fbref.com/en/matches/c2e55a19/Arsenal-London-City-Lionesses-September-6-2025-Womens-Super-League
1,2025-09-07,Sun,12:00 (04:00),Brighton,Aston Villa,,,0–0,1.6,0.7,Broadfield Stadium,2219,Ryan Atkin,completed,draw,https://fbref.com/en/squads/fa2752bc/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/squads/53157aa8/Aston-Villa-Women-Stats,https://fbref.com/en/matches/55679df0/Brighton-and-Hove-Albion-Aston-Villa-September-7-2025-Womens-Super-League
1,2025-09-07,Sun,12:00 (04:00),Tottenham,West Ham,1,,1–0,1.0,0.6,The BetWright Stadium,,Phoebe Cross,completed,home_win,https://fbref.com/en/squads/e8e4577c/Tottenham-Women-Stats,https://fbref.com/en/squads/52d65cea/West-Ham-United-Women-Stats,https://fbref.com/en/matches/550a871e/Tottenham-West-Ham-United-September-7-2025-Womens-Super-League
1,2025-09-07,Sun,12:00 (04:00),Manchester Utd,Leicester City,4,,4–0,2.4,0.5,Leigh Sports Village Stadium,4325,Grace Lowe,completed,home_win,https://fbref.com/en/squads/0bbd83f6/Manchester-United-Women-Stats,https://fbref.com/en/squads/23bce84e/Leicester-City-Women-Stats,https://fbref.com/en/matches/e78e1626/Manchester-United-Leicester-City-September-7-2025-Womens-Super-League
1,2025-09-07,Sun,12:00 (04:00),Liverpool,Everton,1,4,1–4,1.6,1.0,Anfield,,Melissa Burgin,completed,away_win,https://fbref.com/en/squads/00f74a56/Liverpool-Women-Stats,https://fbref.com/en/squads/c4989550/Everton-Women-Stats,https://fbref.com/en/matches/bee82685/Merseyside-Derby-Liverpool-Everton-September-7-2025-Womens-Super-League
2,2025-09-12,Fri,19:30 (11:30),West Ham,Arsenal,1,5,1–5,0.1,2.3,Chigwell Construction Stadium,,Megan Wilson,completed,away_win,https://fbref.com/en/squads/52d65cea/West-Ham-United-Women-Stats,https://fbref.com/en/squads/411b1108/Arsenal-Women-Stats,https://fbref.com/en/matches/97c10350/West-Ham-United-Arsenal-September-12-2025-Womens-Super-League
2,2025-09-12,Fri,19:30 (11:30),Manchester City,Brighton,2,1,2–1,2.8,0.7,Joie Stadium,,Adewunmi Soneye,completed,home_win,https://fbref.com/en/squads/9ce68f8a/Manchester-City-Women-Stats,https://fbref.com/en/squads/fa2752bc/Brighton-and-Hove-Albion-Women-Stats,https://fbref.com/en/matches/a3e0b055/Manchester-City-Brighton-and-Hove-Albion-September-12-2025-Womens-Super-League
2,2025-09-14,Sun,12:00 (04:00),Leicester City,Liverpool,1,,1–0,0.2,0.5,King Power Stadium,,Lisa Benn,completed,home_win,https://fbref.com/en/squads/23bce84e/Leicester-City-Women-Stats,https://fbref.com/en/squads/00f74a56/Liverpool-Women-Stats,https://fbref.com/en/matches/9901609d/Leicester-City-Liverpool-September-14-2025-Womens-Super-League
2,2025-09-14,Sun,12:00 (04:00),Aston Villa,Chelsea,1,3,1–3,1.5,2.9,Villa Park,4994,Stacey Pearson,completed,away_win,https://fbref.com/en/squads/53157aa8/Aston-Villa-Women-Stats,https://fbref.com/en/squads/a6a4e67d/Chelsea-Women-Stats,https://fbref.com/en/matches/4304051e/Aston-Villa-Chelsea-September-14-2025-Womens-Super-League
